time_ms,state,s1,s2,s3,s4,line_pos,line_error,straight_ms,curve_ms,distance_cm,roll_deg,servo_deg,drive_speed,estimated_distance_cm,error_flags,ultrasonic_ok,mpu_ok,color_ok,all_zero,event_code,estimated_distance_mm,course_distance_mm,motor_pwm,s1_line,s2_line,s3_line,s4_line,ultrasonic_detected,course_segment
0,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
100,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
200,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
300,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
400,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
500,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
600,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
700,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
800,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
900,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1000,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1100,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1200,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1300,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1400,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1500,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1600,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1700,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1800,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1900,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2000,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2100,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2200,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2300,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2400,CALIBRATION,260,260,260,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
