time_ms,state,s1,s2,s3,s4,line_pos,line_error,straight_ms,curve_ms,distance_cm,roll_deg,servo_deg,drive_speed,estimated_distance_cm,error_flags,ultrasonic_ok,mpu_ok,color_ok,all_zero,event_code,estimated_distance_mm,course_distance_mm,motor_pwm,s1_line,s2_line,s3_line,s4_line,ultrasonic_detected,course_segment
0,CALIBRATION,281,269,282,230,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
100,CALIBRATION,270,280,260,232,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
200,CALIBRATION,234,276,271,290,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
300,CALIBRATION,245,228,243,281,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
400,CALIBRATION,229,241,233,255,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
500,CALIBRATION,271,271,274,229,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
600,CALIBRATION,244,282,272,272,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
700,CALIBRATION,281,234,242,292,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
800,CALIBRATION,271,275,265,260,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
900,CALIBRATION,256,239,228,248,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1000,CALIBRATION,288,291,274,240,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1100,CALIBRATION,258,258,282,252,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1200,CALIBRATION,261,287,250,240,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1300,CALIBRATION,242,234,282,247,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1400,CALIBRATION,281,236,265,269,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1500,CALIBRATION,233,295,294,262,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1600,CALIBRATION,263,245,247,271,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1700,CALIBRATION,290,253,240,250,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1800,CALIBRATION,242,255,288,228,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
1900,CALIBRATION,271,295,272,284,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2000,CALIBRATION,295,241,236,233,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2100,CALIBRATION,264,275,286,292,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2200,CALIBRATION,277,277,234,241,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2300,CALIBRATION,265,234,282,284,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2400,CALIBRATION,291,269,241,295,0,0,0,0,80.0,0.0,90,0.0,0.0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,calibration
2500,STRAIGHT_TRACE,778,241,280,819,0,0,100,0,84.0,-1.6,93,0.366,1.03,0,1,1,1,0,0,10.3,10.3,93,1,0,0,1,0,start_to_first_obstacle
2600,STRAIGHT_TRACE,776,245,266,783,0,0,200,0,84.4,1.6,89,0.381,2.09,0,1,1,1,0,0,20.9,20.9,97,1,0,0,1,0,start_to_first_obstacle
2700,STRAIGHT_TRACE,765,257,250,825,0,0,300,0,85.1,-1.3,89,0.373,3.14,0,1,1,1,0,0,31.4,31.4,95,1,0,0,1,0,start_to_first_obstacle
2800,STRAIGHT_TRACE,819,246,244,776,0,0,400,0,84.5,0.4,92,0.394,4.24,0,1,1,1,0,0,42.4,42.4,101,1,0,0,1,0,start_to_first_obstacle
2900,STRAIGHT_TRACE,760,228,235,760,0,0,500,0,84.1,1.0,92,0.372,5.28,0,1,1,1,0,0,52.8,52.8,95,1,0,0,1,0,start_to_first_obstacle
3000,STRAIGHT_TRACE,808,228,288,824,0,0,600,0,84.2,0.5,89,0.373,6.32,0,1,1,1,0,0,63.2,63.2,95,1,0,0,1,0,start_to_first_obstacle
