time_ms,state,s1,s2,s3,s4,line_pos,line_error,straight_ms,curve_ms,distance_cm,roll_deg,servo_deg,drive_speed,estimated_distance_cm,error_flags,ultrasonic_ok,mpu_ok,color_ok,all_zero,event_code
0,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
100,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
200,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
300,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
400,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
500,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
600,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
700,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
800,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
900,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1000,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1100,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1200,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1300,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1400,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1500,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1600,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1700,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1800,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
1900,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
